"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","CITY_MARKET_ID","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",51,0,-18.85000000,159,"W",45,0,-159.75000000,"-1000",1974-12-01,2011-06-30,0,0,
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",50,14,-18.83722222,159,"W",45,40,-159.76111111,"-1000",2011-07-01,2015-04-30,0,0,
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",50,15,-18.83750000,159,"W",45,40,-159.76111111,"-1000",2015-05-01,2017-07-31,0,0,
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",50,13,-18.83694444,159,"W",45,39,-159.76083333,"-1000",2017-08-01,2017-10-31,0,0,
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",50,14,-18.83722222,159,"W",45,40,-159.76111111,"-1000",2017-11-01,2017-11-30,0,0,
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",50,13,-18.83694444,159,"W",45,39,-159.76083333,"-1000",2017-12-01,2018-09-30,0,0,
10226,"AIT","Aitutaki Airport","Aitutaki, Cook Islands","Cook Islands","",30226,18,"S",50,13,-18.83694444,159,"W",45,40,-159.76111111,"-1000",2018-10-01,,0,1,
10227,"AIY","Bader Field","Atlantic City, NJ","United States","New Jersey",30158,39,"N",21,36,39.36000000,74,"W",27,36,-74.46000000,"-0500",1950-01-01,1974-03-31,0,0,
10227,"AIY","Bader Field","Atlantic City, NJ","United States","New Jersey",30158,39,"N",21,36,39.36000000,74,"W",27,26,-74.45722222,"-0500",1974-04-01,2010-03-31,1,1,
10228,"AIZ","Lee C Fine Memorial","Lake of the Ozarks, MO","United States","Missouri",30228,38,"N",5,54,38.09833333,92,"W",32,50,-92.54722222,"-0600",1950-01-01,2011-06-30,0,0,
10228,"AIZ","Lee C Fine Memorial","Lake of the Ozarks, MO","United States","Missouri",30228,38,"N",5,46,38.09611111,92,"W",32,58,-92.54944444,"-0600",2011-07-01,,0,1,
10229,"AJA","Ajaccio/Campo Dell Oro","Ajaccio, France","France","",30229,41,"N",55,27,41.92416667,8,"E",48,11,8.80305556,"+0100",1950-01-01,2011-06-30,0,0,
10229,"AJA","Napoleon Bonaparte","Ajaccio, France","France","",30229,41,"N",55,18,41.92166667,8,"E",48,4,8.80111111,"+0100",2011-07-01,2013-01-31,0,0,
10229,"AJA","Ajaccio Napoleon Bonaparte","Ajaccio, France","France","",30229,41,"N",55,18,41.92166667,8,"E",48,4,8.80111111,"+0100",2013-02-01,2016-01-31,0,0,
10229,"AJA","Ajaccio Napoleon Bonaparte","Ajaccio, France","France","",30229,41,"N",55,26,41.92388889,8,"E",48,9,8.80250000,"+0100",2016-02-01,2017-10-31,0,0,
10229,"AJA","Napoleon Bonaparte","Ajaccio, France","France","",30229,41,"N",55,18,41.92166667,8,"E",48,4,8.80111111,"+0100",2017-11-01,2017-11-30,0,0,
10229,"AJA","Ajaccio Napoleon Bonaparte","Ajaccio, France","France","",30229,41,"N",55,26,41.92388889,8,"E",48,9,8.80250000,"+0100",2017-12-01,,0,1,
10230,"AJF","Al Jouf","Jouf, Saudi Arabia","Saudi Arabia","",30230,29,"N",48,0,29.80000000,40,"E",4,0,40.06666667,"+0300",1975-06-01,2011-06-30,0,0,
10230,"AJF","Al Jouf","Jouf, Saudi Arabia","Saudi Arabia","",30230,29,"N",47,6,29.78500000,40,"E",6,0,40.10000000,"+0300",2011-07-01,,0,1,
10231,"AJJ","Akjoujt Airport","Akjoujt, Mauritania","Mauritania","",30231,19,"N",43,50,19.73055556,14,"W",22,28,-14.37444444,"+0000",1960-11-01,2011-06-30,0,0,
10231,"AJJ","Akjoujt Airport","Akjoujt, Mauritania","Mauritania","",30231,19,"N",43,41,19.72805556,14,"W",23,7,-14.38527778,"+0000",2011-07-01,,0,1,
10232,"AJL","Lengpui","Aizwal, India","India","",30232,23,"N",50,26,23.84055556,92,"E",37,11,92.61972222,"+0530",2004-03-01,,0,1,
10233,"AJN","Ouani","Anjouan, Comoros","Comoros","",30233,12,"S",7,35,-12.12638889,44,"E",25,47,44.42972222,"+0300",1975-07-01,2011-06-30,0,0,
10233,"AJN","Ouani","Anjouan, Comoros","Comoros","",30233,12,"S",7,56,-12.13222222,44,"E",25,49,44.43027778,"+0300",2011-07-01,2012-06-30,0,0,
10233,"AJN","Ouani","Anjouan, Comoros","Comoros","",30233,12,"S",7,52,-12.13111111,44,"E",25,50,44.43055556,"+0300",2012-07-01,2017-10-31,0,0,
10233,"AJN","Ouani","Anjouan, Comoros","Comoros","",30233,12,"S",7,56,-12.13222222,44,"E",25,49,44.43027778,"+0300",2017-11-01,2017-11-30,0,0,
